Level,Energy_Ref,Smolyak_diff,TT_40_diff,TT_25_diff,TTNS_25_diff,TTNS_40_diff,TTNS_50_diff,MPS_25_diff,MPS_40_diff
ZPVE,9837.4069,0.0004,-0.0006,0.0004,0.0013,0.0001,0.0,0.0015,0.0001
u_11,360.99,0.001,0.0,0.0,0.015,0.001,0.0,0.007,0.001
,360.99,0.001,0.0,0.0,0.016,0.001,0.0,0.007,0.001
u_11,723.179,0.002,0.001,0.0,0.04,0.001,0.001,0.024,0.002
,723.179,0.002,0.001,0.0,0.04,0.001,0.001,0.024,0.002
u_11,723.825,0.002,0.001,0.001,0.044,0.001,0.001,0.031,0.003
u_4,900.659,0.003,-0.001,-0.003,0.001,0.0,0.0,0.003,0.001
u_9,1034.124,0.002,0.0,0.001,0.017,0.001,0.0,0.009,0.001
,1034.124,0.002,0.0,0.001,0.02,0.001,0.0,0.01,0.001
u_11,1086.552,0.002,0.0,0.0,0.061,0.005,0.002,0.042,0.004
u_11,1086.552,0.002,0.001,0.001,0.061,0.004,0.002,0.041,0.004
u_11,1087.774,0.002,0.001,0.001,0.069,0.005,0.002,0.058,0.008
,1087.774,0.002,0.001,0.001,0.069,0.005,0.002,0.058,0.007
u_11,1259.809,0.073,0.0,-0.071,0.024,0.001,0.001,0.036,0.004
,1259.809,0.073,0.0,-0.071,0.024,0.001,0.001,0.036,0.004
u_3,1388.967,0.006,0.004,0.038,0.027,0.002,0.0,0.029,0.002
u_11,1394.679,0.01,0.003,0.015,0.046,0.005,0.002,0.025,0.003
,1394.679,0.01,0.003,0.023,0.047,0.005,0.002,0.026,0.003
u_11,1394.898,0.009,0.002,0.011,0.046,0.004,0.001,0.023,0.003
u_11,1397.68,0.007,0.004,0.044,0.032,0.002,0.001,0.035,0.003
u_11,1451.093,0.008,0.0,-0.006,0.065,0.012,0.002,0.063,0.01
,1451.093,0.008,0.0,-0.006,0.065,0.012,0.002,0.063,0.01
u_11,1452.818,0.009,0.001,-0.005,0.068,0.012,0.003,0.084,0.014
,1452.818,0.009,0.001,-0.005,0.068,0.012,0.003,0.086,0.014
u_11,1453.394,0.009,0.001,-0.005,0.006,0.0,0.0,0.012,0.002
u_7,1483.219,0.01,0.001,-0.003,0.026,0.002,0.001,0.032,0.002
,1483.22,0.009,0.001,-0.002,0.03,0.002,0.001,0.032,0.002
u_11,1620.199,0.023,-0.001,-0.021,0.04,0.008,0.001,0.1,0.01
,1620.199,0.023,-0.001,-0.021,0.04,0.008,0.001,0.1,0.01
u_11,1620.744,0.023,-0.001,-0.02,0.042,0.008,0.002,0.125,0.015
u_11,1749.519,0.011,0.006,0.067,0.201,0.011,0.003,0.108,0.01
,1749.519,0.011,0.008,0.09,0.202,0.011,0.003,0.109,0.011
u_11,1756.412,0.014,0.007,0.056,0.123,0.009,0.005,0.061,0.01
u_11,1756.412,0.014,0.007,0.057,0.124,0.01,0.005,0.061,0.01
u_11,1757.119,0.014,0.004,0.019,0.122,0.009,0.005,0.07,0.012
,1757.119,0.014,0.005,0.026,0.122,0.009,0.005,0.073,0.012
u_11,1759.76,0.012,0.008,0.084,0.121,0.012,0.004,0.122,0.016
,1759.76,0.012,0.01,0.097,0.129,0.013,0.004,0.131,0.017
u_4,1785.177,0.03,-0.057,-0.136,0.016,0.0,0.0,0.019,0.001
u_11,1816.786,0.013,0.001,-0.009,0.09,0.004,0.001,0.032,0.005
,1816.786,0.013,0.001,-0.009,0.09,0.004,0.001,0.032,0.005
u_11,1818.938,0.014,0.002,-0.007,0.078,0.008,0.002,0.092,0.018
u_11,1818.939,0.013,0.002,-0.006,0.078,0.008,0.002,0.092,0.018
u_11,1820.016,0.015,0.001,-0.009,0.083,0.008,0.002,0.109,0.021
,1820.016,0.015,0.001,-0.009,0.083,0.009,0.002,0.11,0.021
u_11,1844.245,0.013,0.005,0.059,0.1,0.007,0.003,0.065,0.01
u_11,1844.316,0.014,0.006,0.063,0.1,0.007,0.004,0.065,0.01
,1844.317,0.013,0.005,0.064,0.101,0.007,0.004,0.066,0.01
u_11,1844.676,0.014,0.005,0.06,0.108,0.007,0.004,0.068,0.011
u_9,1931.514,0.033,0.0,-0.024,0.05,0.004,0.001,0.041,0.005
,1931.514,0.033,0.001,-0.023,0.06,0.004,0.001,0.043,0.006
u_11,1981.815,0.034,0.0,-0.028,0.1,0.013,0.004,0.188,0.023
u_11,1981.815,0.035,0.0,-0.029,0.1,0.013,0.004,0.188,0.023
u_11,1982.818,0.039,-0.002,-0.036,0.113,0.014,0.005,0.23,0.042
,1982.818,0.039,-0.002,-0.036,0.113,0.015,0.005,0.23,0.043
u_9,2057.044,0.024,0.004,0.007,0.026,0.001,0.001,0.013,0.002
u_9,2065.265,0.021,0.002,-0.012,0.137,0.005,0.003,0.036,0.004
,2065.265,0.021,0.003,0.014,0.137,0.006,0.003,0.038,0.005
u_11,2111.364,0.016,0.013,0.144,0.16,0.02,0.011,0.307,0.024
,2111.364,0.016,0.015,0.2,0.16,0.02,0.011,0.31,0.024
u_11,2112.281,0.016,0.013,0.183,0.181,0.022,0.012,0.34,0.035
u_11,2119.307,0.02,0.01,0.079,0.218,0.035,0.014,0.122,0.019
,2119.307,0.02,0.01,0.105,0.218,0.035,0.014,0.122,0.019
u_11,2120.521,0.02,0.008,0.05,0.229,0.036,0.015,0.152,0.033
,2120.521,0.02,0.009,0.054,0.231,0.036,0.015,0.159,0.034
u_11,2120.889,0.021,0.008,0.041,0.223,0.034,0.014,0.154,0.034
u_11,2122.816,0.018,0.019,0.03,0.208,0.033,0.014,0.359,0.043
,2122.816,0.018,0.022,0.185,0.209,0.033,0.014,0.362,0.043
u_11,2123.282,0.019,0.018,0.136,0.229,0.036,0.015,0.423,0.055
u_11,2142.444,0.17,-0.065,-0.289,0.094,0.004,0.001,0.09,0.008
,2142.444,0.17,-0.065,-0.289,0.094,0.004,0.001,0.092,0.008
u_11,2183.617,0.018,0.002,-0.011,0.11,0.005,0.004,0.034,0.006
,2183.617,0.018,0.002,-0.011,0.11,0.005,0.004,0.034,0.006
u_11,2186.117,0.021,0.002,-0.012,0.084,0.011,0.004,0.111,0.022
,2186.117,0.021,0.002,-0.012,0.084,0.011,0.004,0.111,0.022
u_11,2187.618,0.024,0.003,-0.013,0.093,0.005,0.003,0.125,0.015
,2187.618,0.024,0.003,-0.013,0.093,0.005,0.003,0.125,0.015
u_11,2188.119,0.025,0.003,-0.014,0.019,0.005,0.004,0.136,0.016
u_11,2206.608,0.018,0.007,0.121,0.127,0.026,0.004,0.171,0.015
u_11,2206.615,0.018,0.009,0.148,0.125,0.026,0.004,0.168,0.014
u_11,2206.757,0.009,0.01,0.054,0.131,0.027,0.005,0.173,0.018
,2206.758,0.008,0.01,0.12,0.136,0.027,0.005,0.176,0.018
u_11,2207.541,0.018,0.008,0.053,0.132,0.027,0.005,0.19,0.023
,2207.541,0.018,0.009,0.065,0.14,0.027,0.005,0.199,0.026
